Date	Hour	Tmax(C)	Tmin(C)	ET0	Rain(mm)
2021-06-10	13:30:55	18.94	11.94	0.8640000000000001	0.0
2021-06-10	13:45:59	19.67	11.94	0.8640000000000001	0.0
2021-06-10	14:00:07	20.22	11.94	0.8640000000000001	0.0
2021-06-10	14:15:10	20.33	11.94	1.219	0.0
2021-06-10	14:30:14	20.89	11.94	1.219	0.0
2021-06-10	14:45:18	20.89	11.94	1.219	0.0
2021-06-10	15:00:21	20.89	11.94	1.219	0.0
2021-06-10	15:15:25	20.89	11.94	1.626	0.0
2021-06-10	15:30:29	20.89	11.94	1.626	0.0
2021-06-10	15:45:32	20.89	11.94	1.626	0.0
2021-06-10	16:00:36	20.89	11.94	1.626	0.0
2021-06-10	16:15:39	20.89	11.94	1.956	0.0
2021-06-10	16:30:43	20.89	11.94	1.956	0.0
2021-06-10	16:45:49	20.89	11.94	1.956	0.0
2021-06-10	17:00:52	20.89	11.94	1.956	0.0
2021-06-10	17:15:56	20.89	11.94	2.108	0.0
2021-06-10	17:30:59	20.89	11.94	2.108	0.0
2021-06-10	17:45:03	20.89	11.94	2.108	0.0
2021-06-10	18:00:07	20.89	11.94	2.108	0.0
2021-06-10	18:15:11	20.89	11.94	2.1590000000000003	0.0
2021-06-10	18:30:14	20.89	11.94	2.1590000000000003	0.0
2021-06-10	18:45:18	20.89	11.94	2.1590000000000003	0.0
2021-06-10	19:00:22	20.89	11.94	2.1590000000000003	0.0
2021-06-10	19:15:25	20.89	11.94	2.184	0.0
2021-06-10	19:30:30	20.89	11.94	2.184	0.0
2021-06-10	19:45:34	20.89	11.94	2.184	0.0
2021-06-10	20:00:37	20.89	11.94	2.184	0.0
2021-06-10	20:15:41	20.89	11.94	2.21	0.0
2021-06-10	20:30:44	20.89	11.94	2.21	0.0
2021-06-10	20:45:51	20.89	11.94	2.21	0.0
2021-06-10	21:00:54	20.89	11.94	2.21	0.0
2021-06-10	21:15:57	20.89	11.94	2.21	0.0
2021-06-10	21:30:01	20.89	11.94	2.21	0.0
2021-06-10	21:45:04	20.89	11.94	2.21	0.0
2021-06-10	22:00:08	20.89	11.94	2.21	0.0
2021-06-10	22:15:11	20.89	11.94	2.21	0.0
2021-06-10	22:30:15	20.89	11.94	2.21	0.0
2021-06-10	22:45:18	20.89	11.83	2.21	0.0
2021-06-10	23:45:22	20.89	10.83	2.21	0.0
2021-06-11	00:00:27	20.89	10.78	2.21	0.0
2021-06-11	00:15:30	10.78	10.61	0.0	0.0
2021-06-11	00:30:34	10.78	10.28	0.0	0.0
2021-06-11	00:45:38	10.78	10.22	0.0	0.0
2021-06-11	01:00:42	10.78	10.22	0.0	0.0
2021-06-11	01:15:45	10.78	10.06	0.0	0.0
2021-06-11	01:30:49	10.78	9.83	0.0	0.0
2021-06-11	01:45:53	10.78	9.78	0.0	0.0
2021-06-11	02:00:56	10.78	9.44	0.0	0.0
2021-06-11	02:16:00	10.78	9.33	0.0	0.0
2021-06-11	02:30:04	10.78	9.28	0.0	0.0
2021-06-11	02:45:07	10.78	9.06	0.0	0.0
2021-06-11	03:00:11	10.78	9.06	0.0	0.0
2021-06-11	03:15:14	10.78	9.0	0.0	0.0
2021-06-11	03:30:18	10.78	8.83	0.0	0.0
2021-06-11	03:45:21	10.78	8.83	0.0	0.0
2021-06-11	04:00:25	10.78	8.83	0.0	0.0
2021-06-11	04:15:28	10.78	8.83	0.0	0.0
2021-06-11	04:30:32	10.78	8.83	0.0	0.0
2021-06-11	04:45:36	10.78	8.83	0.0	0.0
2021-06-11	05:00:39	10.78	8.83	0.0	0.0
2021-06-11	05:15:43	10.78	8.83	0.0	0.0
2021-06-11	05:30:49	10.78	8.83	0.0	0.0
2021-06-11	05:45:52	10.78	8.83	0.0	0.0
2021-06-11	06:00:56	10.78	8.83	0.0	0.0
2021-06-11	06:15:59	10.78	8.83	0.0	0.0
2021-06-11	06:30:03	10.78	8.83	0.0	0.0
2021-06-11	06:45:07	10.78	8.83	0.0	0.0
2021-06-11	07:00:11	10.78	8.83	0.0	0.0
2021-06-11	07:15:14	10.94	8.83	0.025	0.0
2021-06-11	07:30:18	11.28	8.83	0.025	0.0
2021-06-11	07:45:21	11.56	8.83	0.025	0.0
2021-06-11	08:00:26	11.83	8.83	0.025	0.0
2021-06-11	08:15:30	12.39	8.83	0.076	0.0
2021-06-11	08:30:33	13.22	8.83	0.076	0.0
2021-06-11	08:45:38	14.11	8.83	0.076	0.0
2021-06-11	09:00:41	15.17	8.83	0.076	0.0
2021-06-11	09:15:45	16.11	8.83	0.305	0.0
2021-06-11	09:30:50	16.83	8.83	0.305	0.0
2021-06-11	09:45:54	17.39	8.83	0.305	0.0
2021-06-11	10:00:58	17.67	8.83	0.305	0.0
2021-06-11	10:15:02	18.06	8.83	0.66	0.0
2021-06-11	10:30:06	18.5	8.83	0.66	0.0
2021-06-11	10:45:10	18.83	8.83	0.66	0.0
2021-06-11	11:00:14	19.0	8.83	0.66	0.0
2021-06-11	11:15:17	19.0	8.83	1.041	0.0
2021-06-11	11:30:21	19.56	8.83	1.041	0.0
2021-06-11	11:45:26	20.0	8.83	1.041	0.0
2021-06-11	12:00:30	20.0	8.83	1.041	0.0
2021-06-11	12:15:36	20.89	8.83	1.524	0.0
